"Pan / Pani (Mr. / Ms.)","씨"
"przyjaciel (a friend)","진구"
"osoba / ludzie (a person / people)","사람"
"Korea (Korea)","한국"
"pojawić się / wydawać się (to appear / to seem)","것"
"dom (home)","집"
"godzina (o'clock)","시"
"dzisiaj (today)","오늘"
"w (czymś) (in)","안"
"nie (nie powiedziałby) (not (he would not tell))","안"
"następny (next)","다음"
"praca (work)","일"
"jeden / numer jeden (one / no. 1)","일"
"dzień (a day)","일"
"teraz (now)","지금"
"film (a movie)","영화"
"czas (time)","시간"
"a school (szkoła)","학교"
"nauczyciel (a teacher)","선생님"
"książka (a book)","책"
"jutro (tomorrow)","내일"
"po / później (after)","후"
"my / nasz (we / our)","우리"
"ktoś (anybody)","분"
"jedzenie (food)","음식"
"Język koreański (Korean language)","한국어"
"rozmowa telefoniczna (a call)","전화"
"wony (pieniądze) (wons (money))","원"
"pogoda (weather)","날씨"
"weekend (a weekend)","주말"
"uczeń (a student)","학생"
"miesiąc (a month)","월"
"autobus (a bus)","버스"
"wieczór / kolacja (evening / dinner)","거녁"
"poranek / śniadanie (morning / breakfast)","아침"
"czas / numer (time / number)","번"
"urodziny (a birthday)","생일"
"pies (a dog)","개"
"kawałek (a piece)","개"
"słowo (a word)","단어"
"matka (a mother)","어머니"
"restauracja (a restaurant)","식당"
"firma (a company)","회사"
"przed / wcześniej (before)","전"
"imię (a name)","이름"
"to (this)","이번"
"dział (a department)","과"
"deszcz (rain)","비"
"obecnie (nowadays)","요즈음"
"przed (czymś) (in front of)","앞"
"obraz / rysunek (a painting / drawing)","그림"
"pieniądze (money)","둔"
"pokój (a room)","방"
"prezent (a present)","선물"
"torba (a bag)","가방"
"słowa / mowa / wypowiedź (talking)","말"
"koń (a horse)","말"
"zjęcie / fotografia (a photo / a picture)","사진"
"jak (how)","얼마"
"popołudnie (afternoon)","오후"
"rozmowa (to talk)","이야기"
"rodzina (a family)","아족"
"posiłek (a meal)","밥"
"biblioteka (a library)","도서관"
"ojciec (a father)","아버지"
"rok (a year)","년"
"ćwiczenia / sport (exercise / sport)","운동"
"język koreański (mowa) (Korean)","한국말"
"piosenka (a song)","노래"
"kobieta (a woman / female)","여자"
"egzamin (an exam)","시험"
"głowa / włosy (head / hair)","머리"
"dźwięk (a sound)","소리"
"list (a letter)","펀지"
"brzuch (stomach)","배"
"statek (a ship)","배"
"rynek (a market)","시장"
"na wycieczkę (for tour)","여행용"
"kawa (coffee)","커피"
"miasto rodzinne (a hometwon)","고향"
"z powodu (because (of))","때문"
"klient (a customer)","손님"
"młodsze rodzeństwo (a younger sibling)","동생"
"ciężar (weight)","살"
"wiek (age)","살"
"klasa (pomieszczenie) (a classroom)","교실"
"spotkanie (an appointment)","약속"
"dom towarowy (a department store)","백화점"
"kraj (a country)","나라"
"lekcje (class)","수업"
"obiad (lunch)","점심"
"miejsce (a place)","곳"
"jak długo ((how) long)","동안"
"tydzień (a week)","주"
"towary (goods)","물건"
"wszystko (all)","모두"
"rozmowa (conversation)","대화"
"uczyć się (study)","공부"
"najbardziej (the most)","제일"
"sobota (Saturday)","토요일"
"osoba (a person)","명"
"góra (a mountain)","산"
"mężczyzna, samiec (a man, male)","남자"
"kto (who)","누가"
"trzy (three)","세"
"lat (year's old)","세"
"wyrażenie (expression)","표현"
"droga / sposób (a way)","길"
"metro (a subway)","지하철"
"niedziela (niedziela)","일요일"
"szpital (a hospital)","병원"
"oko (an eye)","눈"
"śnieg (snow)","눈"
"zadanie (an assignment)","숙체"
"wakacje (a vacation)","방학"
"połowa (half)","반"
"klasa (a klasa)","반"
"alkohol (alcohol)","술"
"komputer (a computer)","컴퓨터"
"jabłko (an apple)","사과"
"rodzaj (a kind)","가지"
"telewizor (a television)","텔레비전"
"kwiatek (a flower)","꽃"
"rodzice (parents)","부모님"
"na(czymś) (on(something))","위"
"miesiąc (a month)","달"
"pytanie (a question)","질문"
"podłoga (a floor)","층"
"uczucie (feeling)","기분"
"personel (a staff)","직원"
"kino (a movie theater)","극장"
"lato (summer)","여름"
"biurko (a desk)","책상"
"sklep (a store)","가게"
"dziecko (a child)","아이"
"bulgogi(jedzenie) (bulgogi(food))","불고기"
"woda (water)","물"
"samolot (an airplane)","비행기"
"wysokość (height)","키"
"stacja metra (a subway station)","지하철역"
"posiłek (a meal)","식사"
"bank (a bank)","은행"
"po raz pierwszy (for the first time)","처음"
"impreza (a party)","파티"
"lek / lekarstwo (medicine)","약"
"dzień (a day)","날"
"gazeta (a newspaper)","신문"
"przeziębienie (a cold)","감기"
"obok / z boku (beside)","옆"
"zima (winter)","겨울"
"taksówka (a taxi)","택시"
"pływanie (swimming)","수영"
"lekarz (a doctor)","의사"
"raz / jeden raz (once)","한번"
"park (a park)","공원"
"noc (a night)","밤"
"kimchi(jedzenie) (kimchi(food))","김치"
"serce (heart)","마음"
"karta (a card)","카드"
"praca na pół etatu (a part time job)","아르바이트"
"uniwersytet (a university)","대학교"
"dziadek (a grandfather)","할아버지"
"bibimbap (bibimbap)","비빔밥"
"miejsce (a place)","장소"
"bardzo (very)","참"
"pociąg (a train)","기차"
"chleb (bread)","빵"
"pisanie (writing)","글"
"język angielski (Ensligh language)","영어"
"poczta (a post office)","우체국"
"numer telefonu (a phone number)","전화번호"
"numer (a number)","번호"
